CustomerID,Frequency,LastPurchase,Monetary,Recency,Segment
CUST01000,6,2024-10-13,8050,79,High Value
CUST01001,4,2024-07-29,1420,155,Medium Value
CUST01002,4,2024-12-22,2595,9,Medium Value
CUST01003,5,2024-08-01,6055,152,High Value
CUST01004,5,2024-08-23,5580,130,High Value
CUST01005,7,2024-10-16,1345,76,Medium Value
CUST01006,2,2024-10-23,110,69,Low Value
CUST01007,1,2024-09-10,300,112,Low Value
CUST01008,1,2023-04-09,1750,632,Medium Value
CUST01009,3,2024-01-18,190,348,Medium Value
CUST01010,5,2023-10-17,1615,441,Medium Value
CUST01011,6,2024-02-09,8310,326,High Value
CUST01012,3,2024-08-05,620,148,Medium Value
CUST01013,6,2024-12-10,5715,21,High Value
CUST01014,1,2023-01-12,275,719,Low Value
CUST01015,2,2023-02-17,975,683,Low Value
CUST01016,5,2024-09-26,1020,96,Medium Value
CUST01017,2,2022-11-17,180,775,Low Value
CUST01018,3,2024-09-22,1400,100,Medium Value
CUST01019,4,2024-07-27,4790,157,Medium Value
CUST01020,4,2023-10-01,590,457,Medium Value
CUST01021,3,2023-01-04,1870,727,Medium Value
CUST01022,3,2024-10-25,1340,67,Medium Value
CUST01023,6,2024-12-18,1710,13,Medium Value
CUST01024,4,2024-07-07,1955,177,Medium Value
CUST01025,2,2023-07-24,1625,526,Medium Value
CUST01026,4,2023-06-08,4580,572,Medium Value
CUST01027,6,2024-11-03,10425,58,High Value
CUST01028,1,2023-04-11,1600,630,Medium Value
CUST01029,6,2024-01-07,1350,359,Medium Value
CUST01030,4,2024-01-23,1860,343,Medium Value
CUST01031,4,2024-09-16,3430,106,Medium Value
CUST01032,4,2024-09-27,1095,95,Medium Value
CUST01033,4,2024-01-26,1090,340,Medium Value
CUST01034,5,2024-12-10,775,21,Medium Value
CUST01035,2,2024-02-20,205,315,Low Value
CUST01036,1,2023-05-13,100,598,Low Value
CUST01037,1,2023-09-13,750,475,Low Value
CUST01038,1,2024-10-08,100,84,Low Value
CUST01039,4,2023-01-10,2710,721,Medium Value
CUST01040,5,2024-11-09,1705,52,Medium Value
CUST01041,5,2024-04-18,725,257,Medium Value
CUST01042,6,2024-11-19,2620,42,Medium Value
CUST01043,3,2024-03-06,2210,300,Medium Value
CUST01044,3,2024-09-06,390,116,Medium Value
CUST01045,3,2023-06-07,400,573,Medium Value
CUST01046,1,2023-08-07,75,512,Low Value
CUST01047,2,2022-03-09,1235,1028,Low Value
CUST01048,2,2023-09-18,900,470,Low Value
CUST01049,3,2023-09-15,240,473,Medium Value
CUST01050,1,2022-04-23,400,983,Low Value
CUST01051,1,2022-11-11,120,781,Low Value
CUST01052,2,2024-06-28,1080,186,Low Value
CUST01053,6,2024-12-08,3645,23,High Value
CUST01054,3,2023-11-28,495,399,Medium Value
CUST01055,3,2022-11-01,4850,791,Medium Value
CUST01056,3,2024-05-22,2250,223,Medium Value
CUST01057,3,2024-09-30,455,92,Medium Value
CUST01058,2,2024-08-30,375,123,Low Value
CUST01059,2,2024-12-18,540,13,Low Value
CUST01060,4,2024-08-17,1305,136,Medium Value
CUST01061,3,2024-12-11,485,20,Medium Value
CUST01062,2,2024-11-26,6035,35,Medium Value
CUST01063,4,2024-08-17,850,136,Medium Value
CUST01064,4,2024-08-23,2500,130,Medium Value
CUST01065,4,2024-04-11,605,264,Medium Value
CUST01066,1,2024-10-12,3600,80,Medium Value
CUST01067,3,2024-07-24,1990,160,Medium Value
