InvoiceID,CustomerID,InvoiceDate,ProductName,Category,UnitPrice,Quantity,Revenue,Country,Status
INV000001,CUST01102,2022-08-17,Blender,Home,60,2,120,USA,Completed
INV000002,CUST03233,2022-07-29,Fiction Novel,Books,20,1,20,United Kingdom,Completed
INV000003,CUST01895,2022-07-11,Self Help,Books,25,1,0,Netherlands,Cancelled
INV000004,CUST03232,2023-02-12,Shoes,Fashion,90,5,450,France,Completed
INV000005,CUST01653,2022-01-14,Bicycle,Sports,400,3,1200,USA,Completed
INV000006,CUST02378,2023-03-17,Headphones,Electronics,150,1,150,United Kingdom,Completed
INV000007,CUST03472,2023-12-06,Headphones,Electronics,150,5,750,Germany,Completed
INV000008,CUST01322,2024-02-15,Pillow,Home,35,3,0,Sweden,Cancelled
INV000009,CUST01284,2023-01-29,Jacket,Fashion,120,1,120,United Kingdom,Completed
INV000010,CUST02556,2022-07-26,Bicycle,Sports,400,2,800,Germany,Completed
INV000011,CUST01858,2023-12-29,Coffee Maker,Home,80,5,400,USA,Completed
INV000012,CUST02002,2024-12-29,Dumbbells,Sports,50,3,0,Netherlands,Cancelled
INV000013,CUST02328,2023-03-26,T-Shirt,Fashion,25,3,75,United Kingdom,Completed
INV000014,CUST01271,2023-07-03,Business Guide,Books,35,2,70,Netherlands,Completed
INV000015,CUST02879,2024-03-21,Blender,Home,60,2,0,Netherlands,Cancelled
INV000016,CUST03394,2023-06-23,Fiction Novel,Books,20,3,60,France,Completed
INV000017,CUST03087,2022-10-11,Laptop,Electronics,1200,1,1200,France,Completed
INV000018,CUST02729,2022-11-24,Headphones,Electronics,150,4,0,Sweden,Cancelled
INV000019,CUST03167,2024-08-16,Python Book,Books,45,1,0,Germany,Cancelled
INV000020,CUST02393,2023-07-01,Lamp,Home,45,2,90,United Kingdom,Completed
INV000021,CUST02078,2022-01-07,Dress,Fashion,110,1,110,Sweden,Completed
INV000022,CUST03494,2024-11-05,Jacket,Fashion,120,2,0,Netherlands,Cancelled
INV000023,CUST01002,2024-12-22,Lamp,Home,45,1,45,Sweden,Completed
INV000024,CUST02259,2024-01-14,Smartphone,Electronics,800,5,4000,Netherlands,Completed
INV000025,CUST02990,2022-06-25,Data Science,Books,55,2,110,United Kingdom,Completed
INV000026,CUST02085,2022-12-05,Fiction Novel,Books,20,2,0,Sweden,Cancelled
INV000027,CUST02276,2023-02-16,Lamp,Home,45,5,225,France,Completed
INV000028,CUST02015,2022-09-05,Tablet,Electronics,500,1,0,Netherlands,Cancelled
INV000029,CUST03410,2023-04-17,Laptop,Electronics,1200,1,1200,Netherlands,Completed
INV000030,CUST01128,2022-05-19,Smart Watch,Electronics,300,2,600,Germany,Completed
INV000031,CUST01877,2024-09-21,Dress,Fashion,110,5,550,Sweden,Completed
INV000032,CUST02937,2023-05-13,T-Shirt,Fashion,25,1,25,France,Completed
INV000033,CUST02734,2023-12-27,Yoga Mat,Sports,30,1,30,France,Completed
INV000034,CUST02389,2024-04-04,Jeans,Fashion,60,2,0,United Kingdom,Cancelled
INV000035,CUST01574,2024-07-07,Jacket,Fashion,120,4,480,France,Completed
INV000036,CUST02815,2022-06-04,Laptop,Electronics,1200,5,6000,Sweden,Completed
INV000037,CUST01968,2022-07-11,Dumbbells,Sports,50,4,200,Netherlands,Completed
INV000038,CUST01240,2024-04-01,Yoga Mat,Sports,30,4,120,Netherlands,Completed
INV000039,CUST02168,2024-07-20,Fiction Novel,Books,20,2,40,France,Completed
INV000040,CUST01891,2023-08-31,Self Help,Books,25,1,25,United Kingdom,Completed
INV000041,CUST01205,2022-04-28,Tennis Racket,Sports,150,5,750,Sweden,Completed
INV000042,CUST03080,2022-04-27,T-Shirt,Fashion,25,5,125,United Kingdom,Completed
